race_id,date,jcd,venue,race_no,waku,reg_no,player_name,branch,age,grade,motor_no,boat_no,rank,result_time,course,st,payout,weather
202301010604,2023-01-01,06,浜名湖,4,3,6,6,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 4 - 1 - 6 ¥9,810 23 3連複 1 = 4 = 6 ¥1,360 7 2連単 4 - 1 ¥1,970 6 2連複 1 = 4 ¥360 2 拡連複 1 = 4 ¥150 2 4 = 6 ¥800 12 1 = 6 ¥450 8 単勝 4 ¥470 複勝 4 ¥130 1 ¥100",水面気象情報 気温 10.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010604,2023-01-01,06,浜名湖,4,4,5,5,2,,,,,,,,,"勝式 組番 払戻金 人気 3連単 4 - 1 - 6 ¥9,810 23 3連複 1 = 4 = 6 ¥1,360 7 2連単 4 - 1 ¥1,970 6 2連複 1 = 4 ¥360 2 拡連複 1 = 4 ¥150 2 4 = 6 ¥800 12 1 = 6 ¥450 8 単勝 4 ¥470 複勝 4 ¥130 1 ¥100",水面気象情報 気温 10.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010604,2023-01-01,06,浜名湖,4,5,3,3,6,,,,,,,,,"勝式 組番 払戻金 人気 3連単 4 - 1 - 6 ¥9,810 23 3連複 1 = 4 = 6 ¥1,360 7 2連単 4 - 1 ¥1,970 6 2連複 1 = 4 ¥360 2 拡連複 1 = 4 ¥150 2 4 = 6 ¥800 12 1 = 6 ¥450 8 単勝 4 ¥470 複勝 4 ¥130 1 ¥100",水面気象情報 気温 10.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010604,2023-01-01,06,浜名湖,4,6,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 4 - 1 - 6 ¥9,810 23 3連複 1 = 4 = 6 ¥1,360 7 2連単 4 - 1 ¥1,970 6 2連複 1 = 4 ¥360 2 拡連複 1 = 4 ¥150 2 4 = 6 ¥800 12 1 = 6 ¥450 8 単勝 4 ¥470 複勝 4 ¥130 1 ¥100",水面気象情報 気温 10.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010605,2023-01-01,06,浜名湖,5,1,2,2,1,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 5 ¥8,060 39 3連複 1 = 3 = 5 ¥3,430 13 2連単 1 - 3 ¥1,460 7 2連複 1 = 3 ¥1,200 7 拡連複 1 = 3 ¥520 9 1 = 5 ¥500 8 3 = 5 ¥540 10 単勝 1 ¥340 複勝 1 ¥220 3 ¥230",水面気象情報 気温 10.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010605,2023-01-01,06,浜名湖,5,2,5,5,,,,3,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 5 ¥8,060 39 3連複 1 = 3 = 5 ¥3,430 13 2連単 1 - 3 ¥1,460 7 2連複 1 = 3 ¥1,200 7 拡連複 1 = 3 ¥520 9 1 = 5 ¥500 8 3 = 5 ¥540 10 単勝 1 ¥340 複勝 1 ¥220 3 ¥230",水面気象情報 気温 10.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010605,2023-01-01,06,浜名湖,5,3,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 5 ¥8,060 39 3連複 1 = 3 = 5 ¥3,430 13 2連単 1 - 3 ¥1,460 7 2連複 1 = 3 ¥1,200 7 拡連複 1 = 3 ¥520 9 1 = 5 ¥500 8 3 = 5 ¥540 10 単勝 1 ¥340 複勝 1 ¥220 3 ¥230",水面気象情報 気温 10.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010605,2023-01-01,06,浜名湖,5,4,2,2,3,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 5 ¥8,060 39 3連複 1 = 3 = 5 ¥3,430 13 2連単 1 - 3 ¥1,460 7 2連複 1 = 3 ¥1,200 7 拡連複 1 = 3 ¥520 9 1 = 5 ¥500 8 3 = 5 ¥540 10 単勝 1 ¥340 複勝 1 ¥220 3 ¥230",水面気象情報 気温 10.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010605,2023-01-01,06,浜名湖,5,5,4,4,3,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 5 ¥8,060 39 3連複 1 = 3 = 5 ¥3,430 13 2連単 1 - 3 ¥1,460 7 2連複 1 = 3 ¥1,200 7 拡連複 1 = 3 ¥520 9 1 = 5 ¥500 8 3 = 5 ¥540 10 単勝 1 ¥340 複勝 1 ¥220 3 ¥230",水面気象情報 気温 10.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
202301010605,2023-01-01,06,浜名湖,5,6,3,3,2,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 5 ¥8,060 39 3連複 1 = 3 = 5 ¥3,430 13 2連単 1 - 3 ¥1,460 7 2連複 1 = 3 ¥1,200 7 拡連複 1 = 3 ¥520 9 1 = 5 ¥500 8 3 = 5 ¥540 10 単勝 1 ¥340 複勝 1 ¥220 3 ¥230",水面気象情報 気温 10.0℃ 晴 風速 4m 水温 8.0℃ 波高 2cm スタンド
